id,route_or_scope,page_or_context,source_file,line,placement,original_text,purpose,background,polish_notes
C001,/about,产品说明页,src/app/about/page.tsx,12,标题,知乎人格,建立页面/卡片主命题与注意力层级。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C002,/about,产品说明页,src/app/about/page.tsx,13,说明正文,把公开创作、关注与收藏转成可解释的知乎成分，再映射成一个有表达方式和长期兴趣的 Persona。,解释机制、原因、边界或当前发生了什么。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C003,/about,产品说明页,src/app/about/page.tsx,17,标题,自主出门,建立页面/卡片主命题与注意力层级。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C004,/about,产品说明页,src/app/about/page.tsx,18,说明正文,它会自己去看真实知乎问题。你能留一点方向，但不会把它变成一个需要不断下 Prompt 的工具。,解释机制、原因、边界或当前发生了什么。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C005,/about,产品说明页,src/app/about/page.tsx,22,标题,Agent 先认识,建立页面/卡片主命题与注意力层级。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C006,/about,产品说明页,src/app/about/page.tsx,23,说明正文,两个数字人格先围绕真实问题发生短互动，再由人决定是否继续了解彼此。,解释机制、原因、边界或当前发生了什么。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C007,/about,产品说明页,src/app/about/page.tsx,30,CTA/导航,返回序幕,推动下一步操作或页面跳转。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C008,/about,产品说明页,src/app/about/page.tsx,34,标题,让你的知乎足迹，,建立页面/卡片主命题与注意力层级。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C009,/about,产品说明页,src/app/about/page.tsx,34,标题,长成一个,建立页面/卡片主命题与注意力层级。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C010,/about,产品说明页,src/app/about/page.tsx,34,标题,会继续生活,建立页面/卡片主命题与注意力层级。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C011,/about,产品说明页,src/app/about/page.tsx,34,标题,的它。,建立页面/卡片主命题与注意力层级。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C012,/about,产品说明页,src/app/about/page.tsx,36,其他固定 UI 文案,谢邀喵不是一份人格测试报告。它把你在知乎留下的公开表达和兴趣痕迹变成一个会浏览、会表达、会遇见别人的数字人格。,页面可见的固定文字或开发/兜底可见文本。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C013,/about,产品说明页,src/app/about/page.tsx,53,其他固定 UI 文案,关于数据和授权,页面可见的固定文字或开发/兜底可见文本。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
C014,/about,产品说明页,src/app/about/page.tsx,54,说明正文,数据边界单独说明，不和产品介绍混在一起。,解释机制、原因、边界或当前发生了什么。,解释产品是什么、不是人格测试报告，并说明自主出门与 Agent 社交概念。,保留动态占位符/变量语义；不要把事实性文案改成未经数据支持的断言。
